date,high,low,open,close,volume,quoteVolume,weightedAverage
1438905600,277.22849063,275.9225,277.22849063,275.9225,62.18237138,0.22535742,275.92777459
1438992000,282.235975,262.64762661,280.99991008,263.0,1032.69471792,3.80112337,271.6814524
1439078400,269.75811042,262.101,263.0,268.86343705,410.00762714,1.534615,267.17295682
1439164800,266.21932357,262.1,266.21932357,266.21932357,9.52216239,0.03632447,262.14181233
1439251200,269.25604587,261.60615343,266.21932357,269.25604587,247.49436684,0.94345384,262.32800838
1439337600,275.6263664,263.32859493,269.25604587,265.413175,682.18727975,2.55771761,266.71720016
1439424000,269.87728091,260.0,263.39255361,263.0,838.98645622,3.18938366,263.05598374
1439510400,265.0,255.0,260.143425,265.0,556.22575402,2.12871507,261.29647967
1439596800,267.0,258.27685,265.0,258.27685,147.73850257,0.56467334,261.63534226
1439683200,264.818575,256.76429583,257.89777067,256.76429583,247.33524901,0.94027517,263.04560293
1439769600,263.884775,257.00000516,257.00000516,262.37255219,115.70648577,0.44061774,262.60060652
1439856000,262.38059156,174.57013394,262.38059156,178.7193125,2979.91680061,12.5883254,236.72066823
1439942400,241.876825,191.29999999,191.29999999,226.99999929,5214.46440764,23.38265523,223.00565767
1440028800,241.75778125,226.99999785,226.99999785,234.0,1900.49598303,8.17811865,232.38792005
1440115200,242.0500026,228.0,229.65637733,233.13000186,2623.03047514,11.29758139,232.17628486
1440201600,285.0,225.0,233.13000271,230.25950309,1097.99004162,4.49126461,244.47235622
1440288000,236.14959975,226.43859881,230.25950309,228.4526468,369.92537078,1.58811397,232.93376783
1440374400,236.99999909,201.45752417,228.4526468,211.0,6440.35548189,29.18247632,220.69256259
1440460800,219.99000003,197.57400001,214.965,219.99000003,5064.27486289,24.41200938,207.45014406
1440547200,227.99000003,216.15825722,219.99000003,227.97999999,1337.59870511,5.97199356,223.97859134
1440633600,229.19941841,208.3,222.00000001,219.99999999,1607.02008258,7.27322976,220.94999547
1440720000,233.99000003,212.183456,215.4287159,230.14,306.69311794,1.3420665,228.5230411
1440806400,235.0,220.0,232.0,235.0,925.51764615,4.08031906,226.8248224
1440892800,226.90000001,211.01100212,226.90000001,215.025,973.41945106,4.37372302,222.56083584
1440979200,226.9,211.0,215.00000001,225.04000001,624.09319036,2.85951487,218.25142331
1441065600,229.5,223.32478814,226.11789796,223.94469998,995.59920308,4.41863979,225.3180278
1441152000,232.99999999,222.28830581,226.0,226.00000001,391.79088737,1.7169761,228.1865702
1441238400,232.67213551,224.35971855,226.00000001,231.00000001,163.11990688,0.70867829,230.17483276
1441324800,231.00000001,225.00000001,225.00000001,231.00000001,272.20435639,1.18922843,228.89156492
1441411200,238.99000003,226.54264212,231.00000001,233.00000001,1058.47759632,4.56172397,232.03455607
1441497600,243.22733484,233.00000001,233.00000001,237.7529,746.77449908,3.10942669,240.16469064
1441584000,245.0,236.5,241.4,244.9,1928.74056669,7.98058162,241.67919815
1441670400,243.5,239.90000002,243.5,239.90000002,27.7990218,0.1156428,240.38696574
1441756800,243.0,236.5,242.99999999,240.59999943,772.01918011,3.24558349,237.86760762
1441843200,243.83099999,236.50000001,240.59999866,243.83099999,172.41081462,0.71449208,241.30542444
1441929600,255.00000001,236.37099997,236.60000033,238.70000001,1385.38482169,5.6440419,245.45969825
1442016000,244.90709278,236.61000002,238.70000001,240.0,696.20053029,2.90768019,239.43504264
1442102400,237.60200001,226.5,237.60200001,226.5,487.20956036,2.09062416,233.04502535
1442188800,233.97779999,226.50000021,233.97779999,228.50000008,201.70637489,0.87604102,230.24763714
1442275200,232.9999994,228.50000285,228.50000286,232.99999594,120.33838143,0.52268107,230.23290556
1442361600,233.47357311,230.00003003,232.99999594,230.00003006,41.9559744,0.18154864,231.10046105
1442448000,235.68915619,231.47357312,231.47357312,232.50000003,99.69752976,0.42593405,234.06799659
1442534400,238.26400001,232.50000051,232.70000005,238.26400001,61.31583346,0.25938538,236.38893398
1442620800,235.8,231.47357311,233.50000101,234.47,177.84208562,0.76007611,233.97931245
1442707200,234.47,231.47357312,234.47,234.47,67.14402084,0.28702629,233.92986349
1442793600,233.00000001,227.16978664,233.00000001,227.49998999,374.66359751,1.62687217,230.29688774
1442880000,232.49999989,225.91,227.49998999,226.516353,637.70344267,2.80596112,227.26738375
1442966400,232.4999999,227.5413,227.5413,228.0,77.82579095,0.34079899,228.36273944
1443052800,235.0,228.0,230.30000001,235.0,619.6479114,2.65084418,233.75493591
1443139200,238.26400001,232.01000001,235.52,238.0,210.62325746,0.89900027,234.28608922
1443225600,238.00000001,232.5,238.0,233.000001,115.85075894,0.4919394,235.4980287
1443312000,237.09999999,233.000007,233.000007,233.00050075,28.9457349,0.12400911,233.41619743
1443398400,243.493875,232.0,237.09998269,243.19999998,8239.10441721,34.27563236,240.37789677
1443484800,245.4999,234.68665,243.19999999,242.0,6796.32023097,28.18567544,241.126747
1443571200,245.4,233.000001,242.14,238.00000001,680.52383966,2.84086256,239.54831509
1443657600,242.69999999,236.0,236.00000001,242.69999999,244.76810362,1.01437994,241.29824928
1443744000,243.5403,236.20001,242.3,240.0,458.57828883,1.89239444,242.32701129
1443830400,242.999,237.99,241.67548782,242.979,30.56132704,0.12696552,240.70572108
1443916800,242.979,237.99,238.16725533,242.969,53.28731742,0.2222369,239.77709112
1444003200,242.969,236.97900001,238.8,236.98,131.76992734,0.55357074,238.03629386
1444089600,249.76639999,236.98000001,238.0878687,242.25,520.03352388,2.12774899,244.40548501
1444176000,252.38676,241.0,242.25,243.00000001,586.72694405,2.38177222,246.34049348
1444262400,248.49999932,242.06,248.49999932,242.30000243,262.51352771,1.06729223,245.96218386
1444348800,246.89,242.0,246.89,244.00000001,443.07583373,1.81916301,243.56026991
1444435200,246.5,242.40020005,246.4,243.1,101.51466383,0.41406883,245.16374206
1444521600,248.28210623,243.1,243.1,248.28210592,950.06038715,3.85520843,246.43554412
1444608000,248.37944518,243.5092607,243.5092607,244.6001001,195.01732935,0.79457878,245.43485713
1444694400,250.39999882,244.6001001,244.6001001,248.47210201,280.83323319,1.13392001,247.66582362
1444780800,257.26208372,247.15829748,250.38777646,252.29997287,736.39530531,2.92851324,251.45705174
1444867200,262.66813468,251.02606982,253.99999995,259.2432,1223.80879756,4.75728064,257.24965377
1444953600,266.08098303,254.00954551,259.50329999,266.08098303,796.79748632,3.0572596,260.62473933
1445040000,277.6389,261.0,266.0,267.04218175,699.356047,2.60201111,268.77519635
1445126400,272.99999996,261.0,272.99999996,269.99999999,1209.76779022,4.53847974,266.55793559
1445212800,269.99999999,261.50000001,261.50000001,263.00000023,205.73973397,0.77363988,265.9373428
1445299200,275.5,262.00000001,267.44400081,275.49999,1011.0685634,3.74987663,269.62715394
1445385600,275.49999,261.9246,275.49999,266.30000001,2331.3783515,8.71138575,267.62428141
1445472000,276.14700001,261.0,266.30000001,276.14699996,2238.98496921,8.3713384,267.45842328
1445558400,284.29949888,270.31000003,270.31000003,277.86212966,917.39832526,3.29078025,278.77836122
1445644800,283.92550526,278.49899517,278.49899517,280.00001,435.87485692,1.55954079,279.48923152
1445731200,298.73999999,281.60227631,283.05999998,287.85000016,4739.14131151,16.3272806,290.25907177
1445817600,291.01634988,279.0,287.85000018,281.49999999,3372.45297058,11.84687062,284.6703639
1445904000,298.5,281.0,281.59999999,297.49999395,5466.31294789,18.82810128,290.3273605
1445990400,307.75,281.01633477,297.69996256,295.19768986,6478.98043305,21.61308183,299.77124428
1446076800,314.6753,293.31363296,295.5,312.59999894,7229.67027246,23.31888266,310.03502088
1446163200,326.87000009,307.1,312.59999894,326.87000009,15426.06825397,48.43007412,318.52249938
1446249600,332.0,306.45969915,326.8700001,310.00000001,9455.35534492,29.68975229,318.47201864
1446336000,328.96200408,312.08011732,312.08011732,326.74446166,1128.35413233,3.49849756,322.52534494
